No,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,,235000,1238000
1,2022-01,QUEENSTOWN,2 ROOM,83,C'WEALTH CL,04 TO 06,46,Standard,1967,44 years 01 month,260000,,200000,1300000
2,2022-01,QUEENSTOWN,2 ROOM,83,C'WEALTH CL,10 TO 12,46,Standard,1967,44 years,268000,,200,1300
3,2022-01,QUEENSTOWN,2 ROOM,91,C'WEALTH DR,01 TO 03,48,Standard,1967,44 years 01 month,235000,,,
4,2022-01,QUEENSTOWN,2 ROOM,26,GHIM MOH LINK,04 TO 06,47,Model A,2013,90 years 04 months,335000,,,
5,2022-01,QUEENSTOWN,3 ROOM,86,C'WEALTH CL,07 TO 09,58,Standard,1967,44 years,315000,,,
6,2022-01,QUEENSTOWN,3 ROOM,96,C'WEALTH CRES,04 TO 06,68,Standard,1970,47 years 07 months,330000,,,
7,2022-01,QUEENSTOWN,3 ROOM,98,C'WEALTH CRES,01 TO 03,59,Standard,1970,47 years 06 months,295000,,,
8,2022-01,QUEENSTOWN,3 ROOM,89,DAWSON RD,13 TO 15,65,Premium Apartment,2016,93 years 04 months,670000,,,
9,2022-01,QUEENSTOWN,3 ROOM,89,DAWSON RD,31 TO 33,65,Premium Apartment,2016,93 years 04 months,701188,,,
10,2022-01,QUEENSTOWN,3 ROOM,87,DAWSON RD,10 TO 12,65,Premium Apartment,2016,93 years 08 months,662000,,,
11,2022-01,QUEENSTOWN,3 ROOM,87,DAWSON RD,04 TO 06,65,Premium Apartment,2016,93 years 07 months,530000,,,
12,2022-01,QUEENSTOWN,3 ROOM,87,DAWSON RD,37 TO 39,65,Premium Apartment,2016,93 years 07 months,699999,,,
13,2022-01,QUEENSTOWN,3 ROOM,5,DOVER CRES,04 TO 06,82,New Generation,1979,56 years 11 months,445000,,,
14,2022-01,QUEENSTOWN,3 ROOM,28C,DOVER CRES,07 TO 09,69,Model A,2012,89 years 03 months,510000,,,
15,2022-01,QUEENSTOWN,3 ROOM,21,DOVER CRES,01 TO 03,65,Improved,1976,53 years 07 months,330000,,,
16,2022-01,QUEENSTOWN,3 ROOM,20,DOVER CRES,07 TO 09,65,Improved,1978,55 years,341000,,,
17,2022-01,QUEENSTOWN,3 ROOM,1,DOVER RD,01 TO 03,65,Improved,1975,52 years 07 months,325500,,,
18,2022-01,QUEENSTOWN,3 ROOM,3,DOVER RD,04 TO 06,65,Improved,1975,52 years 07 months,340000,,,
19,2022-01,QUEENSTOWN,3 ROOM,3,DOVER RD,01 TO 03,65,Improved,1975,52 years 07 months,332000,,,
20,2022-01,QUEENSTOWN,3 ROOM,26,GHIM MOH LINK,04 TO 06,67,Model A,2013,90 years 04 months,540000,,,
21,2022-01,QUEENSTOWN,3 ROOM,26,GHIM MOH LINK,04 TO 06,67,Model A,2013,90 years 03 months,535000,,,
22,2022-01,QUEENSTOWN,3 ROOM,1,GHIM MOH RD,04 TO 06,65,Improved,1976,53 years 07 months,290000,,,
23,2022-01,QUEENSTOWN,3 ROOM,4,GHIM MOH RD,13 TO 15,76,Improved,1976,53 years 07 months,425000,,,
24,2022-01,QUEENSTOWN,3 ROOM,4,GHIM MOH RD,04 TO 06,65,Improved,1976,53 years 07 months,378888,,,
25,2022-01,QUEENSTOWN,3 ROOM,2,GHIM MOH RD,04 TO 06,65,Improved,1976,53 years 08 months,350000,,,
26,2022-01,QUEENSTOWN,3 ROOM,1,GHIM MOH RD,13 TO 15,65,Improved,1976,53 years 07 months,370000,,,
27,2022-01,QUEENSTOWN,3 ROOM,9,HOLLAND AVE,04 TO 06,65,Improved,1974,51 years 05 months,400000,,,
28,2022-01,QUEENSTOWN,3 ROOM,9,HOLLAND AVE,13 TO 15,73,Improved,1974,51 years 04 months,430000,,,
29,2022-01,QUEENSTOWN,3 ROOM,6,HOLLAND CL,04 TO 06,65,Improved,1974,51 years 05 months,368000,,,
30,2022-01,QUEENSTOWN,3 ROOM,6,HOLLAND CL,16 TO 18,65,Improved,1974,51 years 05 months,388888,,,
31,2022-01,QUEENSTOWN,3 ROOM,11,HOLLAND DR,04 TO 06,65,Improved,1975,52 years 01 month,380000,,,
32,2022-01,QUEENSTOWN,3 ROOM,157,MEI LING ST,13 TO 15,69,Improved,1970,47 years 01 month,333000,,,
33,2022-01,QUEENSTOWN,3 ROOM,161,MEI LING ST,04 TO 06,72,Improved,1970,47 years 06 months,350000,,,
34,2022-01,QUEENSTOWN,3 ROOM,160,MEI LING ST,07 TO 09,72,Improved,1970,47 years 06 months,370000,,,
35,2022-01,QUEENSTOWN,3 ROOM,169,STIRLING RD,16 TO 18,60,Improved,1970,47 years 07 months,315000,,,
36,2022-01,QUEENSTOWN,3 ROOM,61B,STRATHMORE AVE,22 TO 24,69,Model A,2011,88 years 08 months,620000,,,
37,2022-01,QUEENSTOWN,4 ROOM,130,CLARENCE LANE,19 TO 21,104,Model A,1996,73 years 08 months,827000,,,
38,2022-01,QUEENSTOWN,4 ROOM,129,CLARENCE LANE,16 TO 18,103,Model A,1996,73 years 08 months,845000,,,
39,2022-01,QUEENSTOWN,4 ROOM,93,DAWSON RD,22 TO 24,83,Premium Apartment,2016,93 years 04 months,790000,,,
40,2022-01,QUEENSTOWN,4 ROOM,88,DAWSON RD,34 TO 36,83,Premium Apartment,2016,93 years 08 months,855000,,,
41,2022-01,QUEENSTOWN,4 ROOM,88,DAWSON RD,31 TO 33,83,Premium Apartment,2016,93 years 08 months,858000,,,
42,2022-01,QUEENSTOWN,4 ROOM,88,DAWSON RD,19 TO 21,87,Premium Apartment,2016,93 years 08 months,880888,,,
43,2022-01,QUEENSTOWN,4 ROOM,86,DAWSON RD,40 TO 42,83,Premium Apartment,2016,93 years 08 months,895000,,,
44,2022-01,QUEENSTOWN,4 ROOM,93,DAWSON RD,40 TO 42,87,Premium Apartment,2016,93 years 04 months,915000,,,
45,2022-01,QUEENSTOWN,4 ROOM,93,DAWSON RD,16 TO 18,87,Premium Apartment,2016,93 years 04 months,860000,,,
46,2022-01,QUEENSTOWN,4 ROOM,19,DOVER CRES,13 TO 15,92,Model A,2003,80 years 08 months,630000,,,
47,2022-01,QUEENSTOWN,4 ROOM,28B,DOVER CRES,01 TO 03,88,Model A,2012,89 years 03 months,620000,,,
48,2022-01,QUEENSTOWN,4 ROOM,28C,DOVER CRES,13 TO 15,95,Model A,2012,89 years 02 months,750000,,,
49,2022-01,QUEENSTOWN,4 ROOM,28D,DOVER CRES,34 TO 36,95,Model A,2012,89 years 02 months,805000,,,
50,2022-01,QUEENSTOWN,4 ROOM,18,DOVER CRES,10 TO 12,92,Model A,2003,80 years 08 months,655000,,,
51,2022-01,QUEENSTOWN,4 ROOM,22,GHIM MOH LINK,04 TO 06,87,Model A,2013,90 years 04 months,758000,,,
52,2022-01,QUEENSTOWN,4 ROOM,28,GHIM MOH LINK,28 TO 30,93,Model A,2013,90 years 04 months,833000,,,
53,2022-01,QUEENSTOWN,4 ROOM,23B,QUEEN'S CL,04 TO 06,89,Improved,1973,50 years 05 months,465000,,,
54,2022-01,QUEENSTOWN,4 ROOM,168A,QUEENSWAY,13 TO 15,84,Improved,1974,51 years 06 months,480000,,,
55,2022-01,QUEENSTOWN,4 ROOM,182,STIRLING RD,04 TO 06,95,Model A,2000,77 years 10 months,700000,,,
56,2022-01,QUEENSTOWN,4 ROOM,49,STRATHMORE AVE,04 TO 06,90,Model A,2006,83 years 07 months,690000,,,
57,2022-01,QUEENSTOWN,4 ROOM,62A,STRATHMORE AVE,28 TO 30,90,Model A,2011,88 years 08 months,830000,,,
58,2022-01,QUEENSTOWN,4 ROOM,51,STRATHMORE AVE,04 TO 06,90,Model A,2006,83 years 10 months,650000,,,
59,2022-01,QUEENSTOWN,4 ROOM,50,STRATHMORE AVE,01 TO 03,90,Model A,2006,83 years 08 months,712500,,,
60,2022-01,QUEENSTOWN,4 ROOM,61C,STRATHMORE AVE,25 TO 27,98,Model A,2011,88 years 07 months,828000,,,
61,2022-01,QUEENSTOWN,4 ROOM,90,TANGLIN HALT RD,10 TO 12,90,Model A,2008,85 years 07 months,748000,,,
62,2022-01,QUEENSTOWN,4 ROOM,91,TANGLIN HALT RD,01 TO 03,85,Model A,2008,85 years 07 months,640000,,,
63,2022-01,QUEENSTOWN,4 ROOM,91,TANGLIN HALT RD,31 TO 33,85,Model A,2008,85 years 07 months,800000,,,
64,2022-01,QUEENSTOWN,5 ROOM,131,CLARENCE LANE,01 TO 03,125,Improved,1996,73 years 08 months,940000,,,
65,2022-01,QUEENSTOWN,5 ROOM,88,DAWSON RD,22 TO 24,104,Premium Apartment,2016,93 years 08 months,1035000,,,
66,2022-01,QUEENSTOWN,5 ROOM,86,DAWSON RD,04 TO 06,104,Premium Apartment,2016,93 years 08 months,1000000,,,
67,2022-01,QUEENSTOWN,5 ROOM,86,DAWSON RD,01 TO 03,104,Premium Apartment,2016,93 years 08 months,900000,,,
68,2022-01,QUEENSTOWN,5 ROOM,93,DAWSON RD,16 TO 18,122,Premium Apartment Loft,2016,93 years 03 months,1238000,,,
69,2022-01,QUEENSTOWN,5 ROOM,88,DAWSON RD,37 TO 39,108,Premium Apartment,2016,93 years 07 months,1200000,,,
70,2022-01,QUEENSTOWN,5 ROOM,18,DOVER CRES,25 TO 27,112,Improved,2003,80 years 08 months,822000,,,
71,2022-01,QUEENSTOWN,5 ROOM,28,GHIM MOH LINK,25 TO 27,113,Improved,2013,90 years 04 months,1050000,,,
72,2022-01,QUEENSTOWN,5 ROOM,20,HOLLAND DR,01 TO 03,119,Standard,1975,52 years 01 month,760000,,,
73,2022-01,QUEENSTOWN,5 ROOM,18C,HOLLAND DR,22 TO 24,117,Improved,2012,89 years 08 months,1180000,,,
74,2022-01,QUEENSTOWN,5 ROOM,22,QUEEN'S CL,04 TO 06,126,Improved,1996,73 years 10 months,720000,,,
75,2022-01,QUEENSTOWN,5 ROOM,55,STRATHMORE AVE,16 TO 18,110,Improved,2002,79 years 05 months,888888,,,
76,2022-01,QUEENSTOWN,5 ROOM,49,STRATHMORE AVE,10 TO 12,110,Improved,2006,83 years 06 months,908000,,,
77,2022-01,QUEENSTOWN,5 ROOM,90,TANGLIN HALT RD,34 TO 36,110,Improved,2008,85 years 08 months,945000,,,
78,2022-02,QUEENSTOWN,3 ROOM,87,C'WEALTH CL,01 TO 03,63,Standard,1967,44 years,280000,,,
79,2022-02,QUEENSTOWN,3 ROOM,88,C'WEALTH CL,04 TO 06,69,Standard,1967,43 years 11 months,355000,,,
80,2022-02,QUEENSTOWN,3 ROOM,112,C'WEALTH CRES,07 TO 09,71,Standard,1969,46 years,330000,,,
81,2022-02,QUEENSTOWN,3 ROOM,96,C'WEALTH CRES,01 TO 03,59,Standard,1970,47 years 04 months,302000,,,
82,2022-02,QUEENSTOWN,3 ROOM,95,C'WEALTH DR,04 TO 06,60,Standard,1967,44 years,305000,,,
83,2022-02,QUEENSTOWN,3 ROOM,90,C'WEALTH DR,01 TO 03,58,Standard,1967,44 years,275800,,,
84,2022-02,QUEENSTOWN,3 ROOM,93,C'WEALTH DR,04 TO 06,60,Standard,1967,44 years,308000,,,
85,2022-02,QUEENSTOWN,3 ROOM,89,C'WEALTH DR,07 TO 09,69,Standard,1967,44 years,335000,,,
86,2022-02,QUEENSTOWN,3 ROOM,50,C'WEALTH DR,04 TO 06,68,Model A,2015,92 years,508000,,,
87,2022-02,QUEENSTOWN,3 ROOM,90,C'WEALTH DR,01 TO 03,60,Standard,1967,43 years 11 months,292000,,,
88,2022-02,QUEENSTOWN,3 ROOM,87,DAWSON RD,25 TO 27,65,Premium Apartment,2016,93 years 07 months,720000,,,
89,2022-02,QUEENSTOWN,3 ROOM,90,DAWSON RD,13 TO 15,65,Premium Apartment,2016,93 years 02 months,698000,,,
90,2022-02,QUEENSTOWN,3 ROOM,3,DOVER RD,07 TO 09,65,Improved,1975,52 years 06 months,350000,,,
91,2022-02,QUEENSTOWN,3 ROOM,27,GHIM MOH LINK,28 TO 30,67,Model A,2013,90 years 02 months,620000,,,
92,2022-02,QUEENSTOWN,3 ROOM,3,GHIM MOH RD,10 TO 12,65,Improved,1976,53 years 05 months,350000,,,
93,2022-02,QUEENSTOWN,3 ROOM,1,GHIM MOH RD,04 TO 06,65,Improved,1976,53 years 05 months,350000,,,
94,2022-02,QUEENSTOWN,3 ROOM,9,HOLLAND AVE,13 TO 15,65,Improved,1974,51 years 04 months,388888,,,
95,2022-02,QUEENSTOWN,3 ROOM,8,HOLLAND AVE,13 TO 15,59,Improved,1974,51 years 04 months,365000,,,
96,2022-02,QUEENSTOWN,3 ROOM,31,HOLLAND CL,04 TO 06,59,Improved,1974,51 years 04 months,310000,,,
97,2022-02,QUEENSTOWN,3 ROOM,31,HOLLAND CL,07 TO 09,67,Improved,1974,51 years 03 months,378000,,,
98,2022-02,QUEENSTOWN,3 ROOM,41,HOLLAND DR,04 TO 06,59,Improved,1975,52 years 05 months,400000,,,
99,2022-02,QUEENSTOWN,3 ROOM,13,HOLLAND DR,10 TO 12,73,Improved,1975,51 years 11 months,435000,,,
100,2022-02,QUEENSTOWN,3 ROOM,162,MEI LING ST,04 TO 06,66,Improved,1970,47 years,310000,,,
101,2022-02,QUEENSTOWN,3 ROOM,154,MEI LING ST,01 TO 03,67,Improved,1970,47 years,360000,,,
102,2022-02,QUEENSTOWN,3 ROOM,160,MEI LING ST,10 TO 12,72,Improved,1970,47 years 06 months,420000,,,
103,2022-02,QUEENSTOWN,3 ROOM,161,MEI LING ST,01 TO 03,72,Improved,1970,47 years 06 months,370000,,,
104,2022-02,QUEENSTOWN,3 ROOM,162,MEI LING ST,10 TO 12,66,Improved,1970,46 years 11 months,310000,,,
105,2022-02,QUEENSTOWN,3 ROOM,170,STIRLING RD,04 TO 06,60,Improved,1970,47 years 08 months,330000,,,
106,2022-02,QUEENSTOWN,3 ROOM,164,STIRLING RD,04 TO 06,66,Improved,1970,47 years,325000,,,
107,2022-02,QUEENSTOWN,3 ROOM,168,STIRLING RD,04 TO 06,60,Improved,1971,48 years,285000,,,
108,2022-02,QUEENSTOWN,3 ROOM,169,STIRLING RD,13 TO 15,60,Improved,1970,47 years 06 months,280000,,,
109,2022-02,QUEENSTOWN,4 ROOM,87,DAWSON RD,34 TO 36,83,Premium Apartment,2016,93 years 07 months,870000,,,
110,2022-02,QUEENSTOWN,4 ROOM,89,DAWSON RD,13 TO 15,97,Premium Apartment Loft,2016,93 years 03 months,938000,,,
111,2022-02,QUEENSTOWN,4 ROOM,87,DAWSON RD,31 TO 33,87,Premium Apartment,2016,93 years 07 months,891000,,,
112,2022-02,QUEENSTOWN,4 ROOM,89,DAWSON RD,25 TO 27,87,Premium Apartment,2016,93 years 02 months,920000,,,
113,2022-02,QUEENSTOWN,4 ROOM,88,DAWSON RD,40 TO 42,87,Premium Apartment,2016,93 years 06 months,940000,,,
114,2022-02,QUEENSTOWN,4 ROOM,86,DAWSON RD,10 TO 12,87,Premium Apartment,2016,93 years 06 months,848000,,,
115,2022-02,QUEENSTOWN,4 ROOM,19,DOVER CRES,10 TO 12,92,Model A,2003,80 years 07 months,685000,,,
116,2022-02,QUEENSTOWN,4 ROOM,28D,DOVER CRES,07 TO 09,95,Model A,2012,89 years 02 months,690000,,,
117,2022-02,QUEENSTOWN,4 ROOM,27,GHIM MOH LINK,01 TO 03,92,Model A,2013,90 years 03 months,718000,,,
118,2022-02,QUEENSTOWN,4 ROOM,23,GHIM MOH LINK,22 TO 24,92,Model A,2013,90 years 03 months,850000,,,
119,2022-02,QUEENSTOWN,4 ROOM,28,GHIM MOH LINK,28 TO 30,92,Model A,2013,90 years 03 months,888000,,,
120,2022-02,QUEENSTOWN,4 ROOM,18D,HOLLAND DR,40 TO 42,92,Model A,2012,89 years 08 months,970000,,,
121,2022-02,QUEENSTOWN,4 ROOM,161,MEI LING ST,10 TO 12,85,Improved,1970,47 years 05 months,440000,,,
122,2022-02,QUEENSTOWN,4 ROOM,183,STIRLING RD,04 TO 06,95,Model A,2000,77 years 10 months,680000,,,
123,2022-02,QUEENSTOWN,4 ROOM,52,STRATHMORE AVE,10 TO 12,90,Model A,2006,83 years 11 months,750000,,,
124,2022-02,QUEENSTOWN,4 ROOM,52,STRATHMORE AVE,04 TO 06,90,Model A,2006,83 years 11 months,765000,,,
125,2022-02,QUEENSTOWN,4 ROOM,61A,STRATHMORE AVE,07 TO 09,96,Model A,2011,88 years 07 months,835000,,,
126,2022-02,QUEENSTOWN,4 ROOM,56,STRATHMORE AVE,07 TO 09,85,Model A,2002,79 years 03 months,720000,,,
127,2022-02,QUEENSTOWN,4 ROOM,52,STRATHMORE AVE,37 TO 39,90,Model A,2006,83 years 10 months,875000,,,
128,2022-02,QUEENSTOWN,4 ROOM,61B,STRATHMORE AVE,13 TO 15,93,Model A,2011,88 years 07 months,777000,,,
129,2022-02,QUEENSTOWN,5 ROOM,131,CLARENCE LANE,04 TO 06,122,Improved,1996,73 years 07 months,975000,,,
130,2022-02,QUEENSTOWN,5 ROOM,131,CLARENCE LANE,10 TO 12,134,Model A,1996,73 years 07 months,990000,,,
131,2022-02,QUEENSTOWN,5 ROOM,132,CLARENCE LANE,04 TO 06,121,Improved,1996,73 years 07 months,875000,,,
132,2022-02,QUEENSTOWN,5 ROOM,91,DAWSON RD,10 TO 12,99,Premium Apartment,2016,93 years 02 months,980000,,,
133,2022-02,QUEENSTOWN,5 ROOM,86,DAWSON RD,34 TO 36,104,Premium Apartment,2016,93 years 06 months,1110000,,,
134,2022-02,QUEENSTOWN,5 ROOM,18C,HOLLAND DR,28 TO 30,117,Improved,2012,89 years 08 months,1180000,,,
135,2022-02,QUEENSTOWN,EXECUTIVE,148,MEI LING ST,01 TO 03,149,Apartment,1995,72 years 08 months,1080000,,,
136,2022-02,QUEENSTOWN,EXECUTIVE,150,MEI LING ST,04 TO 06,147,Maisonette,1995,72 years 09 months,1180000,,,
137,2022-03,QUEENSTOWN,3 ROOM,101,C'WEALTH CRES,04 TO 06,55,Standard,1970,47 years 04 months,265000,,,
138,2022-03,QUEENSTOWN,3 ROOM,50,C'WEALTH DR,13 TO 15,63,Model A,2015,92 years,600000,,,
139,2022-03,QUEENSTOWN,3 ROOM,21,GHIM MOH RD,01 TO 03,65,Improved,1977,54 years 03 months,347000,,,
140,2022-03,QUEENSTOWN,3 ROOM,8,HOLLAND AVE,10 TO 12,59,Improved,1974,51 years 03 months,355000,,,
141,2022-03,QUEENSTOWN,3 ROOM,152,MEI LING ST,07 TO 09,67,Improved,1970,46 years 11 months,325000,,,
142,2022-03,QUEENSTOWN,3 ROOM,170,STIRLING RD,13 TO 15,60,Improved,1970,47 years 05 months,290000,,,
143,2022-03,QUEENSTOWN,3 ROOM,89,TANGLIN HALT RD,37 TO 39,60,Model A,2008,85 years 06 months,598000,,,
144,2022-03,QUEENSTOWN,4 ROOM,88,DAWSON RD,28 TO 30,87,Premium Apartment,2016,93 years 06 months,888000,,,
145,2022-03,QUEENSTOWN,4 ROOM,88,DAWSON RD,13 TO 15,83,Premium Apartment,2016,93 years 06 months,835000,,,
146,2022-03,QUEENSTOWN,4 ROOM,15,GHIM MOH RD,07 TO 09,82,Improved,1977,53 years 11 months,530000,,,
147,2022-03,QUEENSTOWN,5 ROOM,7,GHIM MOH RD,01 TO 03,117,Standard,1977,53 years 11 months,650000,,,
